"species","survival","extinction"
"Struthio_camelus",0.9995,5e-04
"Struthio_molybdophanes",0.61,0.39
"Rhea_americana",0.98,0.02
"Rhea_pennata",0.9995,5e-04
"Rhea_tarapacensis",0.98,0.02
"Nothocercus_julius",0.9995,5e-04
"Nothocercus_bonapartei",0.9995,5e-04
"Nothocercus_nigrocapillus",0.61,0.39
"Tinamus_tao",0.61,0.39
"Tinamus_solitarius",0.98,0.02
"Tinamus_osgoodi",0.61,0.39
"Tinamus_major",0.98,0.02
"Tinamus_guttatus",0.98,0.02
"Crypturellus_berlepschi",0.9995,5e-04
"Crypturellus_cinereus",0.9995,5e-04
"Crypturellus_ptaritepui",0.9995,5e-04
"Crypturellus_soui",0.9995,5e-04
"Crypturellus_obsoletus",0.9995,5e-04
"Crypturellus_undulatus",0.9995,5e-04
"Crypturellus_strigulosus",0.9995,5e-04
"Crypturellus_duidae",0.98,0.02
"Crypturellus_erythropus",0.9995,5e-04
"Crypturellus_noctivagus",0.98,0.02
"Crypturellus_atrocapillus",0.98,0.02
"Crypturellus_occidentalis",0.9995,5e-04
"Crypturellus_cinnamomeus",0.9995,5e-04
"Crypturellus_transfasciatus",0.98,0.02
"Crypturellus_boucardi",0.9995,5e-04
"Crypturellus_kerriae",0.61,0.39
"Crypturellus_variegatus",0.9995,5e-04
"Crypturellus_brevirostris",0.9995,5e-04
"Crypturellus_bartletti",0.9995,5e-04
"Crypturellus_casiquiare",0.9995,5e-04
"Crypturellus_parvirostris",0.9995,5e-04
"Crypturellus_tataupa",0.9995,5e-04
"Rhynchotus_rufescens",0.9995,5e-04
"Rhynchotus_maculicollis",0.9995,5e-04
"Nothoprocta_taczanowskii",0.61,0.39
"Nothoprocta_ornata",0.9995,5e-04
"Nothoprocta_perdicaria",0.9995,5e-04
"Nothoprocta_cinerascens",0.9995,5e-04
"Nothoprocta_pentlandii",0.9995,5e-04
"Nothoprocta_curvirostris",0.9995,5e-04
"Nothura_boraquira",0.9995,5e-04
"Nothura_minor",0.61,0.39
"Nothura_darwinii",0.9995,5e-04
"Nothura_maculosa",0.9995,5e-04
"Taoniscus_nanus",0.004,0.996
"Eudromia_elegans",0.9995,5e-04
"Eudromia_formosa",0.9995,5e-04
"Tinamotis_pentlandii",0.9995,5e-04
"Tinamotis_ingoufi",0.9995,5e-04
"Casuarius_casuarius",0.9995,5e-04
"Casuarius_bennetti",0.9995,5e-04
"Casuarius_unappendiculatus",0.9995,5e-04
"Dromaius_novaehollandiae",0.9995,5e-04
"Apteryx_haastii",0.61,0.39
"Apteryx_owenii",0.98,0.02
"Apteryx_mantelli",0.61,0.39
"Apteryx_australis",0.61,0.39
"Apteryx_rowi",0.61,0.39
"Alectura_lathami",0.9995,5e-04
"Aepypodius_arfakianus",0.9995,5e-04
"Aepypodius_bruijnii",0.004,0.996
"Talegalla_cuvieri",0.9995,5e-04
"Talegalla_fuscirostris",0.9995,5e-04
"Talegalla_jobiensis",0.9995,5e-04
"Leipoa_ocellata",0.61,0.39
"Macrocephalon_maleo",0.004,0.996
"Eulipoa_wallacei",0.61,0.39
"Megapodius_nicobariensis",0.61,0.39
"Megapodius_cumingii",0.9995,5e-04
"Megapodius_bernsteinii",0.61,0.39
"Megapodius_tenimberensis",0.61,0.39
"Megapodius_layardi",0.61,0.39
"Megapodius_laperouse",0.004,0.996
"Megapodius_pritchardii",0.61,0.39
"Megapodius_freycinet",0.9995,5e-04
"Megapodius_geelvinkianus",0.61,0.39
"Megapodius_decollatus",0.9995,5e-04
"Megapodius_eremita",0.9995,5e-04
"Megapodius_reinwardt",0.9995,5e-04
"Chamaepetes_unicolor",0.9995,5e-04
"Chamaepetes_goudotii",0.9995,5e-04
"Penelopina_nigra",0.61,0.39
"Penelope_argyrotis",0.9995,5e-04
"Penelope_barbata",0.98,0.02
"Penelope_ortoni",0.004,0.996
"Penelope_montagnii",0.9995,5e-04
"Penelope_marail",0.9995,5e-04
"Penelope_superciliaris",0.9995,5e-04
"Penelope_dabbenei",0.9995,5e-04
"Penelope_jacquacu",0.9995,5e-04
"Penelope_purpurascens",0.9995,5e-04
"Penelope_perspicax",0.004,0.996
"Penelope_albipennis",0.004,0.996
"Penelope_obscura",0.9995,5e-04
"Penelope_pileata",0.61,0.39
"Penelope_ochrogaster",0.61,0.39
"Penelope_jacucaca",0.61,0.39
"Pipile_pipile",0,1
"Pipile_cumanensis",0.9995,5e-04
"Pipile_grayi",0.98,0.02
"Pipile_cujubi",0.9995,5e-04
"Pipile_jacutinga",0.004,0.996
"Aburria_aburri",0.98,0.02
"Oreophasis_derbianus",0.004,0.996
"Ortalis_vetula",0.9995,5e-04
"Ortalis_cinereiceps",0.9995,5e-04
"Ortalis_garrula",0.9995,5e-04
"Ortalis_ruficauda",0.9995,5e-04
"Ortalis_erythroptera",0.61,0.39
"Ortalis_wagleri",0.9995,5e-04
"Ortalis_poliocephala",0.9995,5e-04
"Ortalis_canicollis",0.9995,5e-04
"Ortalis_leucogastra",0.9995,5e-04
"Ortalis_columbiana",0.9995,5e-04
"Ortalis_guttata",0.9995,5e-04
"Ortalis_araucuan",0.9995,5e-04
"Ortalis_squamata",0.9995,5e-04
"Ortalis_motmot",0.9995,5e-04
"Ortalis_superciliaris",0.9995,5e-04
"Nothocrax_urumutum",0.9995,5e-04
"Crax_rubra",0.61,0.39
"Crax_alberti",0,1
"Crax_daubentoni",0.98,0.02
"Crax_alector",0.61,0.39
"Crax_fasciolata",0.61,0.39
"Crax_pinima",0,1
"Crax_globulosa",0.004,0.996
"Crax_blumenbachii",0.004,0.996
"Mitu_tomentosum",0.98,0.02
"Mitu_mitu",0,1
"Mitu_tuberosum",0.9995,5e-04
"Mitu_salvini",0.9995,5e-04
"Pauxi_unicornis",0,1
"Pauxi_koepckeae",0,1
"Pauxi_pauxi",0.004,0.996
"Numida_meleagris",0.9995,5e-04
"Agelastes_meleagrides",0.61,0.39
"Agelastes_niger",0.9995,5e-04
"Acryllium_vulturinum",0.9995,5e-04
"Guttera_plumifera",0.9995,5e-04
"Guttera_verreauxi",0.9995,5e-04
"Guttera_pucherani",0.9995,5e-04
"Guttera_edouardi",0.9995,5e-04
"Ptilopachus_petrosus",0.9995,5e-04
"Ptilopachus_nahani",0.61,0.39
"Philortyx_fasciatus",0.9995,5e-04
"Oreortyx_pictus",0.9995,5e-04
"Colinus_virginianus",0.98,0.02
"Colinus_nigrogularis",0.9995,5e-04
"Colinus_leucopogon",0.9995,5e-04
"Colinus_cristatus",0.9995,5e-04
"Callipepla_squamata",0.9995,5e-04
"Callipepla_douglasii",0.9995,5e-04
"Callipepla_gambelii",0.9995,5e-04
"Callipepla_californica",0.9995,5e-04
"Dendrortyx_barbatus",0.61,0.39
"Dendrortyx_macroura",0.9995,5e-04
"Dendrortyx_leucophrys",0.9995,5e-04
"Odontophorus_gujanensis",0.98,0.02
"Odontophorus_capueira",0.9995,5e-04
"Odontophorus_melanotis",0.9995,5e-04
"Odontophorus_erythrops",0.9995,5e-04
"Odontophorus_atrifrons",0.61,0.39
"Odontophorus_hyperythrus",0.98,0.02
"Odontophorus_melanonotus",0.61,0.39
"Odontophorus_speciosus",0.98,0.02
"Odontophorus_dialeucos",0.61,0.39
"Odontophorus_strophium",0.61,0.39
"Odontophorus_columbianus",0.98,0.02
"Odontophorus_leucolaemus",0.9995,5e-04
"Odontophorus_balliviani",0.9995,5e-04
"Odontophorus_stellatus",0.9995,5e-04
"Odontophorus_guttatus",0.9995,5e-04
"Rhynchortyx_cinctus",0.9995,5e-04
"Dactylortyx_thoracicus",0.9995,5e-04
"Cyrtonyx_montezumae",0.9995,5e-04
"Cyrtonyx_sallei",0.98,0.02
"Cyrtonyx_ocellatus",0.61,0.39
"Xenoperdix_udzungwensis",0.004,0.996
"Rollulus_rouloul",0.98,0.02
"Arborophila_torqueola",0.9995,5e-04
"Arborophila_rufogularis",0.9995,5e-04
"Arborophila_atrogularis",0.98,0.02
"Arborophila_crudigularis",0.9995,5e-04
"Arborophila_mandellii",0.61,0.39
"Arborophila_brunneopectus",0.9995,5e-04
"Arborophila_rufipectus",0.004,0.996
"Arborophila_gingica",0.98,0.02
"Arborophila_davidi",0.98,0.02
"Arborophila_cambodiana",0.9995,5e-04
"Arborophila_campbelli",0.9995,5e-04
"Arborophila_rolli",0.9995,5e-04
"Arborophila_sumatrana",0.9995,5e-04
"Arborophila_orientalis",0.61,0.39
"Arborophila_javanica",0.9995,5e-04
"Arborophila_rubrirostris",0.9995,5e-04
"Arborophila_hyperythra",0.9995,5e-04
"Arborophila_ardens",0.61,0.39
"Arborophila_chloropus",0.9995,5e-04
"Arborophila_tonkinensis",0.9995,5e-04
"Arborophila_charltonii",0.61,0.39
"Arborophila_graydoni",0.9995,5e-04
"Rhizothera_longirostris",0.98,0.02
"Rhizothera_dulitensis",0.61,0.39
"Melanoperdix_niger",0.61,0.39
"Haematortyx_sanguiniceps",0.9995,5e-04
"Caloperdix_oculeus",0.98,0.02
"Galloperdix_spadicea",0.9995,5e-04
"Galloperdix_lunulata",0.9995,5e-04
"Galloperdix_bicalcarata",0.9995,5e-04
"Afropavo_congensis",0.61,0.39
"Pavo_cristatus",0.9995,5e-04
"Pavo_muticus",0.004,0.996
"Argusianus_argus",0.98,0.02
"Rheinardia_ocellata",0.004,0.996
"Polyplectron_napoleonis",0.61,0.39
"Polyplectron_malacense",0.61,0.39
"Polyplectron_schleiermacheri",0.004,0.996
"Polyplectron_germaini",0.98,0.02
"Polyplectron_katsumatae",0.004,0.996
"Polyplectron_bicalcaratum",0.9995,5e-04
"Polyplectron_inopinatum",0.61,0.39
"Polyplectron_chalcurum",0.9995,5e-04
"Margaroperdix_madagarensis",0.9995,5e-04
"Coturnix_coturnix",0.9995,5e-04
"Coturnix_japonica",0.98,0.02
"Coturnix_coromandelica",0.9995,5e-04
"Coturnix_delegorguei",0.9995,5e-04
"Coturnix_pectoralis",0.9995,5e-04
"Synoicus_ypsilophorus",0.9995,5e-04
"Synoicus_chinensis",0.9995,5e-04
"Synoicus_adansonii",0.9995,5e-04
"Anurophasis_monorthonyx",0.98,0.02
"Tetraogallus_caucasicus",0.9995,5e-04
"Tetraogallus_caspius",0.9995,5e-04
"Tetraogallus_himalayensis",0.9995,5e-04
"Tetraogallus_tibetanus",0.9995,5e-04
"Tetraogallus_altaicus",0.9995,5e-04
"Alectoris_graeca",0.98,0.02
"Alectoris_chukar",0.9995,5e-04
"Alectoris_magna",0.9995,5e-04
"Alectoris_philbyi",0.9995,5e-04
"Alectoris_barbara",0.9995,5e-04
"Alectoris_rufa",0.9995,5e-04
"Alectoris_melanocephala",0.9995,5e-04
"Lerwa_lerwa",0.9995,5e-04
"Ammoperdix_griseogularis",0.9995,5e-04
"Ammoperdix_heyi",0.9995,5e-04
"Perdicula_asiatica",0.9995,5e-04
"Perdicula_argoondah",0.9995,5e-04
"Perdicula_erythrorhyncha",0.9995,5e-04
"Perdicula_manipurensis",0.004,0.996
"Ophrysia_superciliosa",0,1
"Pternistis_hartlaubi",0.9995,5e-04
"Pternistis_bicalcaratus",0.9995,5e-04
"Pternistis_icterorhynchus",0.9995,5e-04
"Pternistis_clappertoni",0.9995,5e-04
"Pternistis_harwoodi",0.98,0.02
"Pternistis_adspersus",0.9995,5e-04
"Pternistis_capensis",0.9995,5e-04
"Pternistis_natalensis",0.9995,5e-04
"Pternistis_hildebrandti",0.9995,5e-04
"Pternistis_ahantensis",0.9995,5e-04
"Pternistis_squamatus",0.9995,5e-04
"Pternistis_griseostriatus",0.9995,5e-04
"Pternistis_leucoscepus",0.9995,5e-04
"Pternistis_rufopictus",0.9995,5e-04
"Pternistis_afer",0.9995,5e-04
"Pternistis_swainsonii",0.9995,5e-04
"Pternistis_jacksoni",0.9995,5e-04
"Pternistis_nobilis",0.9995,5e-04
"Pternistis_camerunensis",0.004,0.996
"Pternistis_swierstrai",0.004,0.996
"Pternistis_castaneicollis",0.9995,5e-04
"Pternistis_atrifrons",0.004,0.996
"Pternistis_erckelii",0.9995,5e-04
"Pternistis_ochropectus",0,1
"Francolinus_francolinus",0.9995,5e-04
"Francolinus_pictus",0.9995,5e-04
"Francolinus_pintadeanus",0.9995,5e-04
"Francolinus_pondicerianus",0.9995,5e-04
"Francolinus_gularis",0.61,0.39
"Dendroperdix_sephaena",0.9995,5e-04
"Peliperdix_coqui",0.9995,5e-04
"Peliperdix_albogularis",0.9995,5e-04
"Peliperdix_schlegelii",0.9995,5e-04
"Peliperdix_lathami",0.9995,5e-04
"Scleroptila_streptophora",0.98,0.02
"Scleroptila_levaillantii",0.9995,5e-04
"Scleroptila_afra",0.9995,5e-04
"Scleroptila_finschi",0.9995,5e-04
"Scleroptila_psilolaema",0.98,0.02
"Scleroptila_elgonensis",0.98,0.02
"Scleroptila_shelleyi",0.9995,5e-04
"Scleroptila_whytei",0.9995,5e-04
"Scleroptila_gutturalis",0.9995,5e-04
"Bambusicola_fytchii",0.9995,5e-04
"Bambusicola_thoracicus",0.9995,5e-04
"Bambusicola_sonorivox",0.9995,5e-04
"Gallus_gallus",0.9995,5e-04
"Gallus_sonneratii",0.9995,5e-04
"Gallus_lafayettii",0.9995,5e-04
"Gallus_varius",0.9995,5e-04
"Tetraophasis_obscurus",0.9995,5e-04
"Tetraophasis_szechenyii",0.9995,5e-04
"Lophophorus_impejanus",0.9995,5e-04
"Lophophorus_sclateri",0.61,0.39
"Lophophorus_lhuysii",0.61,0.39
"Tragopan_melanocephalus",0.61,0.39
"Tragopan_satyra",0.98,0.02
"Tragopan_blythii",0.61,0.39
"Tragopan_temminckii",0.9995,5e-04
"Tragopan_caboti",0.61,0.39
"Ithaginis_cruentus",0.9995,5e-04
"Pucrasia_macrolopha",0.9995,5e-04
"Syrmaticus_ellioti",0.98,0.02
"Syrmaticus_humiae",0.98,0.02
"Syrmaticus_mikado",0.98,0.02
"Syrmaticus_soemmerringii",0.98,0.02
"Syrmaticus_reevesii",0.61,0.39
"Chrysolophus_pictus",0.9995,5e-04
"Chrysolophus_amherstiae",0.9995,5e-04
"Phasianus_colchicus",0.9995,5e-04
"Phasianus_versicolor",0.9995,5e-04
"Crossoptilon_crossoptilon",0.98,0.02
"Crossoptilon_harmani",0.98,0.02
"Crossoptilon_mantchuricum",0.61,0.39
"Crossoptilon_auritum",0.9995,5e-04
"Catreus_wallichii",0.61,0.39
"Lophura_leucomelanos",0.9995,5e-04
"Lophura_nycthemera",0.9995,5e-04
"Lophura_edwardsi",0,1
"Lophura_swinhoii",0.98,0.02
"Lophura_inornata",0.98,0.02
"Lophura_erythrophthalma",0.61,0.39
"Lophura_pyronota",0.61,0.39
"Lophura_ignita",0.98,0.02
"Lophura_rufa",0.98,0.02
"Lophura_diardi",0.9995,5e-04
"Lophura_bulweri",0.61,0.39
"Perdix_perdix",0.9995,5e-04
"Perdix_dauurica",0.9995,5e-04
"Perdix_hodgsoniae",0.9995,5e-04
"Meleagris_gallopavo",0.9995,5e-04
"Meleagris_ocellata",0.98,0.02
"Bonasa_umbellus",0.9995,5e-04
"Bonasa_bonasia",0.9995,5e-04
"Bonasa_sewerzowi",0.98,0.02
"Lagopus_lagopus",0.9995,5e-04
"Lagopus_muta",0.9995,5e-04
"Lagopus_leucura",0.9995,5e-04
"Dendragapus_obscurus",0.9995,5e-04
"Dendragapus_fuliginosus",0.9995,5e-04
"Falcipennis_falcipennis",0.98,0.02
"Falcipennis_canadensis",0.9995,5e-04
"Falcipennis_franklinii",0.9995,5e-04
"Tetrao_urogallus",0.9995,5e-04
"Tetrao_urogalloides",0.9995,5e-04
"Lyrurus_tetrix",0.9995,5e-04
"Lyrurus_mlokosiewiczi",0.98,0.02
"Centrocercus_urophasianus",0.98,0.02
"Centrocercus_minimus",0.004,0.996
"Tympanuchus_phasianellus",0.9995,5e-04
"Tympanuchus_cupido",0.61,0.39
"Tympanuchus_pallidicinctus",0.61,0.39
"Anhima_cornuta",0.9995,5e-04
"Chauna_chavaria",0.98,0.02
"Chauna_torquata",0.9995,5e-04
"Anseranas_semipalmata",0.9995,5e-04
"Dendrocygna_viduata",0.9995,5e-04
"Dendrocygna_autumnalis",0.9995,5e-04
"Dendrocygna_guttata",0.9995,5e-04
"Dendrocygna_arborea",0.98,0.02
"Dendrocygna_bicolor",0.9995,5e-04
"Dendrocygna_eytoni",0.9995,5e-04
"Dendrocygna_arcuata",0.9995,5e-04
"Dendrocygna_javanica",0.9995,5e-04
"Thalassornis_leuconotus",0.9995,5e-04
"Heteronetta_atricapilla",0.9995,5e-04
"Nomonyx_dominicus",0.9995,5e-04
"Oxyura_jamaicensis",0.9995,5e-04
"Oxyura_ferruginea",0.9995,5e-04
"Oxyura_vittata",0.9995,5e-04
"Oxyura_australis",0.98,0.02
"Oxyura_maccoa",0.61,0.39
"Oxyura_leucocephala",0.004,0.996
