"","species","survival","extinction"
"138","Alexandromys_mujanensis",0.996,0.004
"139","Alexandromys_oeconomus",0.99995,5e-05
"140","Alexandromys_sachalinensis",0.99995,5e-05
"141","Alionycteris_paucidentata",0.99995,5e-05
"142","Allactaga_major",0.99995,5e-05
"143","Allactaga_severtzovi",0.99995,5e-05
"144","Allactodipus_bobrinskii",0.99995,5e-05
"145","Allenopithecus_nigroviridis",0.99995,5e-05
"146","Allocebus_trichotis",0.95,0.05
"147","Allochrocebus_lhoesti",0.95,0.05
"148","Allochrocebus_preussi",0.58,0.42
"149","Allochrocebus_solatus",0.996,0.004
"150","Allocricetulus_curtatus",0.99995,5e-05
"151","Allocricetulus_eversmanni",0.99995,5e-05
"152","Alouatta_arctoidea",0.99995,5e-05
"153","Alouatta_belzebul",0.95,0.05
"154","Alouatta_caraya",0.99995,5e-05
"155","Alouatta_discolor",0.95,0.05
"156","Alouatta_guariba",0.99995,5e-05
"157","Alouatta_macconnelli",0.99995,5e-05
"158","Alouatta_nigerrima",0.99995,5e-05
"159","Alouatta_palliata",0.99995,5e-05
"160","Alouatta_pigra",0.58,0.42
"161","Alouatta_sara",0.99995,5e-05
"162","Alouatta_seniculus",0.99995,5e-05
"163","Alouatta_ululata",0.58,0.42
"164","Alticola_albicaudus",0.996,0.004
"165","Alticola_argentatus",0.99995,5e-05
"166","Alticola_barakshin",0.99995,5e-05
"167","Alticola_lemminus",0.99995,5e-05
"168","Alticola_montosa",0.95,0.05
"169","Alticola_olchonensis",0.58,0.42
"170","Alticola_roylei",0.996,0.004
"171","Alticola_semicanus",0.99995,5e-05
"172","Alticola_stoliczkanus",0.99995,5e-05
"173","Alticola_stracheyi",0.996,0.004
"174","Alticola_strelzowi",0.99995,5e-05
"175","Alticola_tuvinicus",0.99995,5e-05
"176","Amblysomus_corriae",0.996,0.004
"177","Amblysomus_hottentotus",0.99995,5e-05
"178","Amblysomus_marleyi",0.58,0.42
"179","Amblysomus_robustus",0.95,0.05
"180","Amblysomus_septentrionalis",0.996,0.004
"181","Ametrida_centurio",0.99995,5e-05
"182","Ammelaphus_imberbis",0.996,0.004
"183","Ammodillus_imbellis",0.996,0.004
"184","Ammodorcas_clarkei",0.95,0.05
"185","Ammospermophilus_harrisii",0.99995,5e-05
"186","Ammospermophilus_interpres",0.99995,5e-05
"187","Ammospermophilus_leucurus",0.99995,5e-05
"188","Ammospermophilus_nelsoni",0.58,0.42
"189","Ammotragus_lervia",0.95,0.05
"190","Amorphochilus_schnablii",0.95,0.05
"191","Amphinectomys_savamis",0.996,0.004
"192","Anathana_ellioti",0.99995,5e-05
"193","Andalgalomys_olrogi",0.99995,5e-05
"194","Andalgalomys_pearsoni",0.99995,5e-05
"195","Andalgalomys_roigi",0.996,0.004
"196","Andinomys_edax",0.99995,5e-05
"197","Anisomys_imitator",0.99995,5e-05
"198","Anomalurus_beecrofti",0.99995,5e-05
"199","Anomalurus_derbianus",0.99995,5e-05
"200","Anomalurus_pelii",0.996,0.004
"201","Anomalurus_pusillus",0.99995,5e-05
"202","Anonymomys_mindorensis",0.996,0.004
"203","Anotomys_leander",0.58,0.42
"204","Anoura_aequatoris",0.99995,5e-05
"205","Anoura_cadenai",0.996,0.004
"206","Anoura_carishina",0.996,0.004
"207","Anoura_caudifer",0.99995,5e-05
"208","Anoura_cultrata",0.99995,5e-05
"209","Anoura_fistulata",0.996,0.004
"210","Anoura_geoffroyi",0.99995,5e-05
"211","Anoura_latidens",0.99995,5e-05
"212","Anoura_luismanueli",0.99995,5e-05
"213","Anoura_peruana",0.99995,5e-05
