"species","survival","extinction"
"Callipepla_californica",0.8,0.2
"Dendrortyx_barbatus",0.2,0.8
"Dendrortyx_macroura",0.8,0.2
"Dendrortyx_leucophrys",0.8,0.2
"Odontophorus_gujanensis",0.6,0.4
"Odontophorus_capueira",0.8,0.2
"Odontophorus_melanotis",0.8,0.2
"Odontophorus_erythrops",0.8,0.2
"Odontophorus_atrifrons",0.2,0.8
"Odontophorus_hyperythrus",0.6,0.4
"Odontophorus_melanonotus",0.2,0.8
"Odontophorus_speciosus",0.6,0.4
"Odontophorus_dialeucos",0.2,0.8
"Odontophorus_strophium",0.2,0.8
"Odontophorus_columbianus",0.6,0.4
"Odontophorus_leucolaemus",0.8,0.2
"Odontophorus_balliviani",0.8,0.2
"Odontophorus_stellatus",0.8,0.2
"Odontophorus_guttatus",0.8,0.2
"Rhynchortyx_cinctus",0.8,0.2
"Dactylortyx_thoracicus",0.8,0.2
"Cyrtonyx_montezumae",0.8,0.2
"Cyrtonyx_sallei",0.6,0.4
"Cyrtonyx_ocellatus",0.2,0.8
"Xenoperdix_udzungwensis",0.1,0.9
"Rollulus_rouloul",0.6,0.4
"Arborophila_torqueola",0.8,0.2
"Arborophila_rufogularis",0.8,0.2
"Arborophila_atrogularis",0.6,0.4
"Arborophila_crudigularis",0.8,0.2
"Arborophila_mandellii",0.2,0.8
"Arborophila_brunneopectus",0.8,0.2
"Arborophila_rufipectus",0.1,0.9
"Arborophila_gingica",0.6,0.4
"Arborophila_davidi",0.6,0.4
"Arborophila_cambodiana",0.8,0.2
"Arborophila_campbelli",0.8,0.2
"Arborophila_rolli",0.8,0.2
"Arborophila_sumatrana",0.8,0.2
"Arborophila_orientalis",0.2,0.8
"Arborophila_javanica",0.8,0.2
"Arborophila_rubrirostris",0.8,0.2
"Arborophila_hyperythra",0.8,0.2
"Arborophila_ardens",0.2,0.8
"Arborophila_chloropus",0.8,0.2
"Arborophila_tonkinensis",0.8,0.2
"Arborophila_charltonii",0.2,0.8
"Arborophila_graydoni",0.8,0.2
"Rhizothera_longirostris",0.6,0.4
"Rhizothera_dulitensis",0.2,0.8
"Melanoperdix_niger",0.2,0.8
"Haematortyx_sanguiniceps",0.8,0.2
"Caloperdix_oculeus",0.6,0.4
"Galloperdix_spadicea",0.8,0.2
"Galloperdix_lunulata",0.8,0.2
"Galloperdix_bicalcarata",0.8,0.2
"Afropavo_congensis",0.2,0.8
"Pavo_cristatus",0.8,0.2
"Pavo_muticus",0.1,0.9
"Argusianus_argus",0.6,0.4
"Rheinardia_ocellata",0.1,0.9
"Polyplectron_napoleonis",0.2,0.8
"Polyplectron_malacense",0.2,0.8
"Polyplectron_schleiermacheri",0.1,0.9
"Polyplectron_germaini",0.6,0.4
"Polyplectron_katsumatae",0.1,0.9
"Polyplectron_bicalcaratum",0.8,0.2
"Polyplectron_inopinatum",0.2,0.8
"Polyplectron_chalcurum",0.8,0.2
"Margaroperdix_madagarensis",0.8,0.2
"Coturnix_coturnix",0.8,0.2
"Coturnix_japonica",0.6,0.4
"Coturnix_coromandelica",0.8,0.2
"Coturnix_delegorguei",0.8,0.2
"Coturnix_pectoralis",0.8,0.2
"Synoicus_ypsilophorus",0.8,0.2
"Synoicus_chinensis",0.8,0.2
"Synoicus_adansonii",0.8,0.2
"Anurophasis_monorthonyx",0.6,0.4
"Tetraogallus_caucasicus",0.8,0.2
"Tetraogallus_caspius",0.8,0.2
"Tetraogallus_himalayensis",0.8,0.2
"Tetraogallus_tibetanus",0.8,0.2
"Tetraogallus_altaicus",0.8,0.2
"Alectoris_graeca",0.6,0.4
"Alectoris_chukar",0.8,0.2
"Alectoris_magna",0.8,0.2
"Alectoris_philbyi",0.8,0.2
"Alectoris_barbara",0.8,0.2
"Alectoris_rufa",0.8,0.2
"Alectoris_melanocephala",0.8,0.2
"Lerwa_lerwa",0.8,0.2
"Ammoperdix_griseogularis",0.8,0.2
"Ammoperdix_heyi",0.8,0.2
"Perdicula_asiatica",0.8,0.2
"Perdicula_argoondah",0.8,0.2
"Perdicula_erythrorhyncha",0.8,0.2
"Perdicula_manipurensis",0.1,0.9
"Ophrysia_superciliosa",0.01,0.99
"Pternistis_hartlaubi",0.8,0.2
"Pternistis_bicalcaratus",0.8,0.2
"Pternistis_icterorhynchus",0.8,0.2
"Pternistis_clappertoni",0.8,0.2
"Pternistis_harwoodi",0.6,0.4
"Pternistis_adspersus",0.8,0.2
"Pternistis_capensis",0.8,0.2
"Pternistis_natalensis",0.8,0.2
"Pternistis_hildebrandti",0.8,0.2
"Pternistis_ahantensis",0.8,0.2
"Pternistis_squamatus",0.8,0.2
"Pternistis_griseostriatus",0.8,0.2
"Pternistis_leucoscepus",0.8,0.2
"Pternistis_rufopictus",0.8,0.2
"Pternistis_afer",0.8,0.2
"Pternistis_swainsonii",0.8,0.2
"Pternistis_jacksoni",0.8,0.2
"Pternistis_nobilis",0.8,0.2
"Pternistis_camerunensis",0.1,0.9
"Pternistis_swierstrai",0.1,0.9
"Pternistis_castaneicollis",0.8,0.2
"Pternistis_atrifrons",0.1,0.9
"Pternistis_erckelii",0.8,0.2
"Pternistis_ochropectus",0.01,0.99
"Francolinus_francolinus",0.8,0.2
"Francolinus_pictus",0.8,0.2
"Francolinus_pintadeanus",0.8,0.2
"Francolinus_pondicerianus",0.8,0.2
"Francolinus_gularis",0.2,0.8
"Dendroperdix_sephaena",0.8,0.2
"Peliperdix_coqui",0.8,0.2
"Peliperdix_albogularis",0.8,0.2
"Peliperdix_schlegelii",0.8,0.2
"Peliperdix_lathami",0.8,0.2
"Scleroptila_streptophora",0.6,0.4
"Scleroptila_levaillantii",0.8,0.2
"Scleroptila_afra",0.8,0.2
"Scleroptila_finschi",0.8,0.2
"Scleroptila_psilolaema",0.6,0.4
"Scleroptila_elgonensis",0.6,0.4
"Scleroptila_shelleyi",0.8,0.2
"Scleroptila_whytei",0.8,0.2
"Scleroptila_gutturalis",0.8,0.2
"Bambusicola_fytchii",0.8,0.2
"Bambusicola_thoracicus",0.8,0.2
"Bambusicola_sonorivox",0.8,0.2
"Gallus_gallus",0.8,0.2
"Gallus_sonneratii",0.8,0.2
"Gallus_lafayettii",0.8,0.2
"Gallus_varius",0.8,0.2
"Tetraophasis_obscurus",0.8,0.2
"Tetraophasis_szechenyii",0.8,0.2
"Lophophorus_impejanus",0.8,0.2
"Lophophorus_sclateri",0.2,0.8
"Lophophorus_lhuysii",0.2,0.8
"Tragopan_melanocephalus",0.2,0.8
"Tragopan_satyra",0.6,0.4
"Tragopan_blythii",0.2,0.8
"Tragopan_temminckii",0.8,0.2
"Tragopan_caboti",0.2,0.8
"Ithaginis_cruentus",0.8,0.2
"Pucrasia_macrolopha",0.8,0.2
"Syrmaticus_ellioti",0.6,0.4
"Syrmaticus_humiae",0.6,0.4
"Syrmaticus_mikado",0.6,0.4
"Syrmaticus_soemmerringii",0.6,0.4
"Syrmaticus_reevesii",0.2,0.8
"Chrysolophus_pictus",0.8,0.2
"Chrysolophus_amherstiae",0.8,0.2
"Phasianus_colchicus",0.8,0.2
"Phasianus_versicolor",0.8,0.2
"Crossoptilon_crossoptilon",0.6,0.4
"Crossoptilon_harmani",0.6,0.4
"Crossoptilon_mantchuricum",0.2,0.8
"Crossoptilon_auritum",0.8,0.2
"Catreus_wallichii",0.2,0.8
"Lophura_leucomelanos",0.8,0.2
"Lophura_nycthemera",0.8,0.2
"Lophura_edwardsi",0.01,0.99
"Lophura_swinhoii",0.6,0.4
"Lophura_inornata",0.6,0.4
"Lophura_erythrophthalma",0.2,0.8
"Lophura_pyronota",0.2,0.8
"Lophura_ignita",0.6,0.4
"Lophura_rufa",0.6,0.4
"Lophura_diardi",0.8,0.2
"Lophura_bulweri",0.2,0.8
"Perdix_perdix",0.8,0.2
"Perdix_dauurica",0.8,0.2
"Perdix_hodgsoniae",0.8,0.2
"Meleagris_gallopavo",0.8,0.2
"Meleagris_ocellata",0.6,0.4
"Bonasa_umbellus",0.8,0.2
"Bonasa_bonasia",0.8,0.2
"Bonasa_sewerzowi",0.6,0.4
"Lagopus_lagopus",0.8,0.2
"Lagopus_muta",0.8,0.2
"Lagopus_leucura",0.8,0.2
"Dendragapus_obscurus",0.8,0.2
"Dendragapus_fuliginosus",0.8,0.2
"Falcipennis_falcipennis",0.6,0.4
"Falcipennis_canadensis",0.8,0.2
"Falcipennis_franklinii",0.8,0.2
"Tetrao_urogallus",0.8,0.2
"Tetrao_urogalloides",0.8,0.2
"Lyrurus_tetrix",0.8,0.2
"Lyrurus_mlokosiewiczi",0.6,0.4
"Centrocercus_urophasianus",0.6,0.4
"Centrocercus_minimus",0.1,0.9
"Tympanuchus_phasianellus",0.8,0.2
"Tympanuchus_cupido",0.2,0.8
"Tympanuchus_pallidicinctus",0.2,0.8
"Anhima_cornuta",0.8,0.2
"Chauna_chavaria",0.6,0.4
"Chauna_torquata",0.8,0.2
"Anseranas_semipalmata",0.8,0.2
"Dendrocygna_viduata",0.8,0.2
"Dendrocygna_autumnalis",0.8,0.2
"Dendrocygna_guttata",0.8,0.2
"Dendrocygna_arborea",0.6,0.4
"Dendrocygna_bicolor",0.8,0.2
"Dendrocygna_eytoni",0.8,0.2
"Dendrocygna_arcuata",0.8,0.2
"Dendrocygna_javanica",0.8,0.2
"Thalassornis_leuconotus",0.8,0.2
"Heteronetta_atricapilla",0.8,0.2
"Nomonyx_dominicus",0.8,0.2
"Oxyura_jamaicensis",0.8,0.2
"Oxyura_ferruginea",0.8,0.2
"Oxyura_vittata",0.8,0.2
"Oxyura_australis",0.6,0.4
"Oxyura_maccoa",0.2,0.8
"Oxyura_leucocephala",0.1,0.9
"Biziura_lobata",0.8,0.2
"Malacorhynchus_membranaceus",0.8,0.2
"Stictonetta_naevosa",0.8,0.2
"Cereopsis_novaehollandiae",0.8,0.2
"Coscoroba_coscoroba",0.8,0.2
"Cygnus_melancoryphus",0.8,0.2
"Cygnus_atratus",0.8,0.2
"Cygnus_olor",0.8,0.2
"Cygnus_buccinator",0.8,0.2
"Cygnus_cygnus",0.8,0.2
"Cygnus_columbianus",0.8,0.2
"Branta_bernicla",0.8,0.2
"Branta_leucopsis",0.8,0.2
"Branta_ruficollis",0.2,0.8
"Branta_hutchinsii",0.8,0.2
"Branta_canadensis",0.8,0.2
"Branta_sandvicensis",0.2,0.8
"Anser_canagicus",0.6,0.4
"Anser_caerulescens",0.8,0.2
"Anser_rossii",0.8,0.2
"Anser_indicus",0.8,0.2
"Anser_anser",0.8,0.2
"Anser_cygnoid",0.2,0.8
"Anser_fabalis",0.8,0.2
"Anser_brachyrhynchus",0.8,0.2
"Anser_albifrons",0.8,0.2
"Anser_erythropus",0.2,0.8
"Clangula_hyemalis",0.2,0.8
"Somateria_fischeri",0.6,0.4
"Somateria_spectabilis",0.8,0.2
"Somateria_mollissima",0.6,0.4
"Polysticta_stelleri",0.2,0.8
"Melanitta_perspicillata",0.8,0.2
"Melanitta_fusca",0.2,0.8
"Melanitta_stejnegeri",0.8,0.2
