"species","survival","extinction"
"Ploceus_aureonucha",0.58,0.42
"Ploceus_golandi",0.58,0.42
"Ploceus_nicolli",0.58,0.42
"Podiceps_taczanowskii",0.03,0.97
"Polioptila_clementsi",0.03,0.97
"Polyplectron_napoleonis",0.95,0.05
"Pomarea_nigra",0.03,0.97
"Pomarea_whitneyi",0.03,0.97
"Premnoplex_tatei",0.95,0.05
"Pseudibis_davisoni",0.03,0.97
"Pseudobulweria_macgillivrayi",0.03,0.97
"Pseudocalyptomena_graueri",0.95,0.05
"Pseudonestor_xanthophrys",0.03,0.97
"Pterodroma_magentae",0.03,0.97
"Pterodroma_phaeopygia",0.03,0.97
"Ptilocichla_falcata",0.95,0.05
"Puffinus_auricularis",0.03,0.97
"Puffinus_mauretanicus",0.03,0.97
"Pyrrhura_orcesi",0.58,0.42
"Pyrrhura_viridicata",0.58,0.42
"Rhinoptilus_bitorquatus",0.03,0.97
"Rhynchopsitta_pachyrhyncha",0.58,0.42
"Rhynchopsitta_terrisi",0.58,0.42
"Rowettia_goughensis",0.03,0.97
"Schoutedenapus_schoutedeni",0.95,0.05
"Sephanoides_fernandensis",0.03,0.97
"Sheppardia_aurantiithorax",0.58,0.42
"Spizella_wortheni",0.58,0.42
"Spizocorys_fringillaris",0.58,0.42
"Sterna_bernsteini",0.03,0.97
"Strigops_habroptila",0.03,0.97
"Synallaxis_tithys",0.58,0.42
"Synthliboramphus_craveri",0.95,0.05
"Telophorus_kupeensis",0.58,0.42
"Terpsiphone_corvina",0.03,0.97
"Thaumatibis_gigantea",0.03,0.97
"Thryothorus_nicefori",0.03,0.97
"Todiramphus_funebris",0.95,0.05
"Todiramphus_gambieri",0.03,0.97
"Todiramphus_godeffroyi",0.03,0.97
"Treron_pembaensis",0.95,0.05
"Treron_psittaceus",0.58,0.42
"Treron_sanctithomae",0.95,0.05
"Troglodytes_monticola",0.03,0.97
"Turdus_helleri",0.03,0.97
"Turnix_olivii",0.58,0.42
"Vanellus_gregarius",0.03,0.97
"Xenicus_gilviventris",0.95,0.05
"Zoothera_guttata",0.58,0.42
"Zosterops_chloronothus",0.03,0.97
"Zosterops_conspicillatus",0.58,0.42
"Zosterops_nehrkorni",0.03,0.97
"Zosterops_rotensis",0.03,0.97
"Zosterops_splendidus",0.95,0.05
