CatalogNumber,FullName,CommonName,Continent,Country,ProvinceStateTerritory,SeaGulf,CollectionDate,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,SampleType,PreparedDate,Preservation,StorageTemperature,AccessionNumber,image
CA000000932,Hydropotes inermis,Water deer,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Hydropotes,inermis,,Cell Culture,2001-01-15,,Liquid Nitrogen,2021_11_08_MFS,
CA000000933,Anolis sabanus,Saban anole,,,,,,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,sabanus,,Cell Culture,2013-07-06,,Liquid Nitrogen,2021_11_08_MFS,
CA000000934,Anolis pogus,Bearded anole,,,,,,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,pogus,,Cell Culture,2013-07-06,,Liquid Nitrogen,2021_11_08_MFS,
CA000000935,Anolis pogus,Bearded anole,,,,,,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,pogus,,Cell Culture,2013-07-06,,Liquid Nitrogen,2021_11_08_MFS,
CA000000936,Anolis sabanus,Saban anole,,,,,,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,sabanus,,Cell Culture,2013-07-06,,Liquid Nitrogen,2021_11_08_MFS,
CA000000937,Choloepus didactylus,Two-toed sloth,,,,,,Animalia,Chordata,Mammalia,Pilosa,Megalonychidae,Choloepus,didactylus,,Cell Culture,2013-07-10,,Liquid Nitrogen,2021_11_08_MFS,
CA000000938,Choloepus didactylus,Two-toed sloth,,,,,,Animalia,Chordata,Mammalia,Pilosa,Megalonychidae,Choloepus,didactylus,,Cell Culture,2013-07-10,,Liquid Nitrogen,2021_11_08_MFS,
CA000000939,Equus caballus,Horse,,,,,,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,caballus,,Cell Culture,2004-02-26,,Liquid Nitrogen,2021_11_08_MFS,
CA000000940,Hylobates lar,White-handed gibbon,,,,,,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,lar,,Cell Culture,2005-09-08,,Liquid Nitrogen,2021_11_08_MFS,
CA000000941,Iberolacerta monticola,Iberian rock lizard,,,,,,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Iberolacerta,monticola,,Cell Culture,2013-07-10,,Liquid Nitrogen,2021_11_08_MFS,
CA000000942,Iberolacerta monticola,Iberian rock lizard,,,,,,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Iberolacerta,monticola,,Cell Culture,2013-07-10,,Liquid Nitrogen,2021_11_08_MFS,
CA000000943,Iberolacerta monticola,Iberian rock lizard,,,,,,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Iberolacerta,monticola,,Cell Culture,2013-07-10,,Liquid Nitrogen,2021_11_08_MFS,
CA000000944,Iberolacerta monticola,Iberian rock lizard,,,,,,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Iberolacerta,monticola,,Cell Culture,2013-07-10,,Liquid Nitrogen,2021_11_08_MFS,
CA000000945,Iberolacerta monticola,Iberian rock lizard,,,,,,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Iberolacerta,monticola,,Cell Culture,2013-07-10,,Liquid Nitrogen,2021_11_08_MFS,
CA000000946,Macropus eugenii,Tammar wallaby,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Macropus,eugenii,,Cell Culture,2013-07-10,,Liquid Nitrogen,2021_11_08_MFS,
CA000000947,Monodelphis domestica,Short-tailed opossum,,,,,,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Monodelphis,domestica,,Cell Culture,2013-07-10,,Liquid Nitrogen,2021_11_08_MFS,
CA000000948,Trichosurus vulpecula,Brush-tailed possum,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Phalangeridae,Trichosurus,vulpecula,,Cell Culture,2005-09-13,,Liquid Nitrogen,2021_11_08_MFS,
CA000000949,Trichosurus vulpecula,Brush-tailed possum,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Phalangeridae,Trichosurus,vulpecula,,Cell Culture,2005-09-13,,Liquid Nitrogen,2021_11_08_MFS,
CA000000950,Gorilla gorilla,Gorilla,,,,,,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,gorilla,,Cell Culture,1997-02-24,,Liquid Nitrogen,2021_11_08_MFS,
CA000000951,Hydropotes inermis,Water deer,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Hydropotes,inermis,,Cell Culture,1997-06-12,,Liquid Nitrogen,2021_11_08_MFS,
CA000000952,Nomascus leucogenys,White-cheeked gibbon,,,,,,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Nomascus,leucogenys,,Cell Culture,1997-06-18,,Liquid Nitrogen,2021_11_08_MFS,
CA000000953,Nomascus leucogenys,White-cheeked gibbon,,,,,,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Nomascus,leucogenys,,Cell Culture,1997-06-18,,Liquid Nitrogen,2021_11_08_MFS,
CA000000954,Nycticebus coucang,Slow loris,,,,,,Animalia,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,coucang,,Cell Culture,2004-02-18,,Liquid Nitrogen,2021_11_08_MFS,
CA000000955,Akodon cursor,Cursor grass mouse,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Akodon,cursor,,Cell Culture,,,Liquid Nitrogen,2021_11_08_MFS,
CA000000956,Akodon cursor,Cursor grass mouse,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Akodon,cursor,,Cell Culture,,,Liquid Nitrogen,2021_11_08_MFS,
CA000000957,Akodon cursor,Cursor grass mouse,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Akodon,cursor,,Cell Culture,,,Liquid Nitrogen,2021_11_08_MFS,
CA000000958,Akodon cursor,Cursor grass mouse,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Akodon,cursor,,Cell Culture,,,Liquid Nitrogen,2021_11_08_MFS,
CA000000959,Akodon cursor,Cursor grass mouse,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Akodon,cursor,,Cell Culture,,,Liquid Nitrogen,2021_11_08_MFS,
CA000000960,Cricetulus griseus,Chinese hamster,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus,griseus,,Cell Culture,2006-05-02,,Liquid Nitrogen,2021_11_08_MFS,
CA000000961,Ornithorhynchus anatinus,Platypus,,,,,,Animalia,Chordata,Mammalia,Monotremata,Ornithorhynchidae,Ornithorhynchus,anatinus,,Cell Culture,2006-04-26,,Liquid Nitrogen,2021_11_08_MFS,
CA000000962,Xerus rutilus,African ground squirrel,,,,,,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Xerus,rutilus,,Cell Culture,2006-01-23,,Liquid Nitrogen,2021_11_08_MFS,
CA000000963,Dicrostonyx torquatus,Collared lemming,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Dicrostonyx,torquatus,,Cell Culture,2005-10-06,,Liquid Nitrogen,2021_11_08_MFS,
CA000000964,Dicrostonyx torquatus,Collared lemming,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Dicrostonyx,torquatus,,Cell Culture,2005-10-06,,Liquid Nitrogen,2021_11_08_MFS,
CA000000965,Mazama gouazoubira,Brown brocket deer,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Mazama,gouazoubira,,Cell Culture,2006-01-23,,Liquid Nitrogen,2021_11_08_MFS,
CA000000966,Muntiacus muntjak vaginalis,,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,muntjak,vaginalis,Cell Culture,2000-02-07,,Liquid Nitrogen,2021_11_08_MFS,
CA000000967,Muntiacus muntjak vaginalis,,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,muntjak,vaginalis,Cell Culture,2000-02-07,,Liquid Nitrogen,2021_11_08_MFS,
CA000000968,Muntiacus reevesi,Chinese muntjac,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,reevesi,,Cell Culture,1994-11-21,,Liquid Nitrogen,2021_11_08_MFS,
CA000000969,Muntiacus reevesi,Chinese muntjac,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,reevesi,,Cell Culture,1994-11-21,,Liquid Nitrogen,2021_11_08_MFS,
