CatalogNumber,FullName,CommonName,Continent,Country,ProvinceStateTerritory,SeaGulf,CollectionDate,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,SampleType,PreparedDate,Preservation,StorageTemperature,AccessionNumber,image
CA000000001,Cercopithecus neglectus,De Brazza's monkey,,,,,,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,neglectus,,Cell Culture,1997-06-05,,Liquid Nitrogen,2021_11_08_MFS,
CA000000002,Cavia porcellus,Guinea pig,,,,,,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,porcellus,,Cell Culture,2001-03-29,,Liquid Nitrogen,2021_11_08_MFS,
CA000000003,Camelus dromedarius,Camel,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus,dromedarius,,Cell Culture,2003-03-11,,Liquid Nitrogen,2021_11_08_MFS,
CA000000004,Canis familiaris,Domestic dog,,,,,,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,familiaris,,Cell Culture,2007-12-11,,Liquid Nitrogen,2021_11_08_MFS,
CA000000005,Burhinus oedicnemus,Stone curlew,,,,,,Animalia,Chordata,Aves,Charadriiformes,Burhinidae,Burhinus,oedicnemus,,Cell Culture,2004-10-22,,Liquid Nitrogen,2021_11_08_MFS,
CA000000006,Bos taurus,Cattle,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,taurus,,Cell Culture,2012-05-12,,Liquid Nitrogen,2021_11_08_MFS,
CA000000007,Akodon cursor,Cursor grass mouse,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Akodon,cursor,,Cell Culture,,,Liquid Nitrogen,2021_11_08_MFS,
CA000000008,Aepyprymnus rufescens,Rufous rat-kangaroo,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Potoroidae,Aepyprymnus,rufescens,,Cell Culture,2003-07-11,,Liquid Nitrogen,2021_11_08_MFS,
CA000000009,Coleonyx elegans,Banded gecko,,,,,,Animalia,Chordata,Reptilia,Squamata,Eublepharidae,Coleonyx,elegans,,Cell Culture,2009-07-07,,Liquid Nitrogen,2021_11_08_MFS,
CA000000010,Cricetulus griseus,Chinese hamster,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus,griseus,,Cell Culture,2006-05-02,,Liquid Nitrogen,2021_11_08_MFS,
CA000000011,Chalcides chalcides,Italian three-toed skink,,,,,,Animalia,Chordata,Reptilia,Squamata,Scincidae,Chalcides,chalcides,,Cell Culture,2009-08-06,,Liquid Nitrogen,2021_11_08_MFS,
CA000000012,Chamaeleo calyptratus,Veiled chameleon,,,,,,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Chamaeleo,calyptratus,,Cell Culture,2008-08-08,,Liquid Nitrogen,2021_11_08_MFS,
CA000000013,Equus caballus,Welsh mountain pony,,,,,,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,caballus,,Cell Culture,2001-01-17,,Liquid Nitrogen,2021_11_08_MFS,
CA000000014,Hoolock leuconedys,Hoolock gibbon,,,,,,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hoolock,leuconedys,,Cell Culture,2003-06-16,,Liquid Nitrogen,2021_11_08_MFS,
CA000000015,Hoolock leuconedys,Hoolock gibbon,,,,,,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hoolock,leuconedys,,Cell Culture,2003-06-16,,Liquid Nitrogen,2021_11_08_MFS,
CA000000016,Hydropotes inermis,Water deer,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Hydropotes,inermis,,Cell Culture,2001-01-17,,Liquid Nitrogen,2021_11_08_MFS,
CA000000017,Bos taurus,Chillingham cattle,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,taurus,,Cell Culture,1999-04-14,,Liquid Nitrogen,2021_11_08_MFS,
CA000000018,Hydropotes inermis,Water deer,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Hydropotes,inermis,,Cell Culture,2001-01-18,,Liquid Nitrogen,2021_11_08_MFS,
CA000000019,Aepyprymnus rufescens,Rufous rat-kangaroo,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Potoroidae,Aepyprymnus,rufescens,,Cell Culture,2002-08-22,,Liquid Nitrogen,2021_11_08_MFS,
CA000000020,Canis familiaris,Domestic dog,,,,,,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,familiaris,,Cell Culture,1999-03-30,,Liquid Nitrogen,2021_11_08_MFS,
CA000000021,Canis familiaris,Domestic dog,,,,,,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,familiaris,,Cell Culture,1999-03-25,,Liquid Nitrogen,2021_11_08_MFS,
CA000000022,Chamaeleo calyptratus,Veiled chameleon,,,,,,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Chamaeleo,calyptratus,,Cell Culture,2009-01-22,,Liquid Nitrogen,2021_11_08_MFS,
CA000000023,Chamaeleo calyptratus,Veiled chameleon,,,,,,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Chamaeleo,calyptratus,,Cell Culture,2009-01-22,,Liquid Nitrogen,2021_11_08_MFS,
CA000000024,Myodes glareolus,Bank vole,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myodes,glareolus,,Cell Culture,2004-10-26,,Liquid Nitrogen,2021_11_08_MFS,
CA000000025,Equus caballus,Yunnan pony,,,,,,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,caballus,,Cell Culture,1997-09-30,,Liquid Nitrogen,2021_11_08_MFS,
CA000000026,Gekko japonicus,Japanese gecko,,,,,,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Gekko,japonicus,,Cell Culture,2012-05-03,,Liquid Nitrogen,2021_11_08_MFS,
CA000000027,Canis familiaris,Domestic dog,,,,,,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,familiaris,,Cell Culture,1999-03-24,,Liquid Nitrogen,2021_11_08_MFS,
CA000000028,Dicrostonyx torquatus,Collared lemming,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Dicrostonyx,torquatus,,Cell Culture,2005-12-16,,Liquid Nitrogen,2021_11_08_MFS,
CA000000029,Equus asinus,Donkey,,,,,,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,asinus,,Cell Culture,2000-04-11,,Liquid Nitrogen,2021_11_08_MFS,
CA000000030,Felis catus,Domestic Cat,,,,,,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,catus,,Cell Culture,2006-11-28,,Liquid Nitrogen,2021_11_08_MFS,
CA000000031,Felis catus,Domestic Cat,,,,,,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,catus,,Cell Culture,1999-05-04,,Liquid Nitrogen,2021_11_08_MFS,
CA000000032,Sus scrofa,Domestic pig,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,scrofa,,Cell Culture,2013-05-10,,Liquid Nitrogen,2021_11_08_MFS,
CA000000033,Sus scrofa,Domestic pig,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,scrofa,,Cell Culture,2013-05-10,,Liquid Nitrogen,2021_11_08_MFS,
CA000000034,Vulpes vulpes,Red fox,,,,,,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,vulpes,,Cell Culture,2005-12-16,,Liquid Nitrogen,2021_11_08_MFS,
CA000000035,Choloepus didactylus,Two-toed sloth,,,,,,Animalia,Chordata,Mammalia,Pilosa,Megalonychidae,Choloepus,didactylus,,Cell Culture,2013-07-31,,Liquid Nitrogen,2021_11_08_MFS,
CA000000036,Daboia russelii,Russel's viper,,,,,,Animalia,Chordata,Reptilia,Squamata,Viperidae,Daboia,russelii,,Cell Culture,2007-08-16,,Liquid Nitrogen,2021_11_08_MFS,
CA000000037,Daboia russelii,Russel's viper,,,,,,Animalia,Chordata,Reptilia,Squamata,Viperidae,Daboia,russelii,,Cell Culture,2007-08-16,,Liquid Nitrogen,2021_11_08_MFS,
CA000000038,Daboia russelii,Russel's viper,,,,,,Animalia,Chordata,Reptilia,Squamata,Viperidae,Daboia,russelii,,Cell Culture,2007-08-16,,Liquid Nitrogen,2021_11_08_MFS,
CA000000039,Ellobius lutescens,Transcaucasian mole vole,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ellobius,lutescens,,Cell Culture,2008-02-27,,Liquid Nitrogen,2021_11_08_MFS,
CA000000040,Iberolacerta monticola,Iberian rock lizard,,,,,,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Iberolacerta,monticola,,Cell Culture,2013-07-31,,Liquid Nitrogen,2021_11_08_MFS,
CA000000041,Iberolacerta monticola,Iberian rock lizard,,,,,,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Iberolacerta,monticola,,Cell Culture,2013-07-31,,Liquid Nitrogen,2021_11_08_MFS,
CA000000042,Nyctereutes procyonoides procyonoides,,,,,,,Animalia,Chordata,Mammalia,Carnivora,Canidae,Nyctereutes,procyonoides,procyonoides,Cell Culture,2003-05-12,,Liquid Nitrogen,2021_11_08_MFS,
CA000000043,Ornithorhynchus anatinus,Platypus,,,,,,Animalia,Chordata,Mammalia,Monotremata,Ornithorhynchidae,Ornithorhynchus,anatinus,,Cell Culture,2007-08-13,,Liquid Nitrogen,2021_11_08_MFS,
CA000000044,Ornithorhynchus anatinus,Platypus,,,,,,Animalia,Chordata,Mammalia,Monotremata,Ornithorhynchidae,Ornithorhynchus,anatinus,,Cell Culture,2006-06-22,,Liquid Nitrogen,2021_11_08_MFS,
CA000000045,Pogona vitticeps,Central bearded dragon,,,,,,Animalia,Chordata,Reptilia,Squamata,Agamidae,Pogona,vitticeps,,Cell Culture,2013-07-31,,Liquid Nitrogen,2021_11_08_MFS,
CA000000046,Trichosurus vulpecula,Brush-tailed possum,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Phalangeridae,Trichosurus,vulpecula,,Cell Culture,2007-01-05,,Liquid Nitrogen,2021_11_08_MFS,
CA000000047,Trichosurus vulpecula,Brush-tailed possum,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Phalangeridae,Trichosurus,vulpecula,,Cell Culture,2007-01-05,,Liquid Nitrogen,2021_11_08_MFS,
CA000000048,Ursus arctos,Brown bear,,,,,,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,arctos,,Cell Culture,2000-05-17,,Liquid Nitrogen,2021_11_08_MFS,
CA000000049,Ursus arctos,Brown bear,,,,,,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,arctos,,Cell Culture,2000-05-17,,Liquid Nitrogen,2021_11_08_MFS,
CA000000050,Vulpes vulpes,Red fox,,,,,,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,vulpes,,Cell Culture,2000-11-13,,Liquid Nitrogen,2021_11_08_MFS,
CA000000051,Vulpes vulpes,Red fox,,,,,,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,vulpes,,Cell Culture,2000-11-13,,Liquid Nitrogen,2021_11_08_MFS,
CA000000052,Vulpes vulpes,Red fox,,,,,,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,vulpes,,Cell Culture,2000-05-12,,Liquid Nitrogen,2021_11_08_MFS,
CA000000053,Trichosurus vulpecula,Brush-tailed possum,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Phalangeridae,Trichosurus,vulpecula,,Cell Culture,2007-01-05,,Liquid Nitrogen,2021_11_08_MFS,
CA000000054,Apodemus sylvaticus,Common wood mouse,,,,,,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,sylvaticus,,Cell Culture,1996-05-03,,Liquid Nitrogen,2021_11_08_MFS,
CA000000055,Apodemus sylvaticus,Common wood mouse,,,,,,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,sylvaticus,,Cell Culture,1996-05-28,,Liquid Nitrogen,2021_11_08_MFS,
CA000000056,Apodemus sylvaticus,Common wood mouse,,,,,,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,sylvaticus,,Cell Culture,1996-04-23,,Liquid Nitrogen,2021_11_08_MFS,
CA000000057,Apodemus sylvaticus,Common wood mouse,,,,,,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,sylvaticus,,Cell Culture,1996-05-03,,Liquid Nitrogen,2021_11_08_MFS,
CA000000058,Apodemus sylvaticus,Common wood mouse,,,,,,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,sylvaticus,,Cell Culture,1995-08-08,,Liquid Nitrogen,2021_11_08_MFS,
CA000000059,Apodemus sylvaticus,Common wood mouse,,,,,,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,sylvaticus,,Cell Culture,1996-05-09,,Liquid Nitrogen,2021_11_08_MFS,
CA000000060,Apodemus sylvaticus,Common wood mouse,,,,,,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,sylvaticus,,Cell Culture,1996-05-28,,Liquid Nitrogen,2021_11_08_MFS,
CA000000061,Choloepus didactylus,Two-toed sloth,,,,,,Animalia,Chordata,Mammalia,Pilosa,Megalonychidae,Choloepus,didactylus,,Cell Culture,2004-10-26,,Liquid Nitrogen,2021_11_08_MFS,
CA000000062,Equus burchelli,Plains zebra,,,,,,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,burchelli,,Cell Culture,2000-07-19,,Liquid Nitrogen,2021_11_08_MFS,
CA000000063,Equus burchelli,Plains zebra,,,,,,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,burchelli,,Cell Culture,2000-07-19,,Liquid Nitrogen,2021_11_08_MFS,
CA000000064,Equus burchelli,Plains zebra,,,,,,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,burchelli,,Cell Culture,2000-07-19,,Liquid Nitrogen,2021_11_08_MFS,
CA000000065,Iberolacerta monticola,Iberian rock lizard,,,,,,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Iberolacerta,monticola,,Cell Culture,2013-07-31,,Liquid Nitrogen,2021_11_08_MFS,
CA000000066,Iberolacerta monticola,Iberian rock lizard,,,,,,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Iberolacerta,monticola,,Cell Culture,2013-07-31,,Liquid Nitrogen,2021_11_08_MFS,
CA000000067,Iberolacerta monticola,Iberian rock lizard,,,,,,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Iberolacerta,monticola,,Cell Culture,2013-07-31,,Liquid Nitrogen,2021_11_08_MFS,
CA000000068,Rattus norvegicus,Brown rat,,,,,,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,norvegicus,,Cell Culture,1997-01-13,,Liquid Nitrogen,2021_11_08_MFS,
CA000000069,Rattus norvegicus,Brown rat,,,,,,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,norvegicus,,Cell Culture,1997-01-13,,Liquid Nitrogen,2021_11_08_MFS,
CA000000070,Rattus norvegicus,Brown rat,,,,,,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,norvegicus,,Cell Culture,1997-01-13,,Liquid Nitrogen,2021_11_08_MFS,
CA000000071,Rattus norvegicus,Brown rat,,,,,,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,norvegicus,,Cell Culture,1997-01-13,,Liquid Nitrogen,2021_11_08_MFS,
CA000000072,Rattus norvegicus,Brown rat,,,,,,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,norvegicus,,Cell Culture,1997-01-13,,Liquid Nitrogen,2021_11_08_MFS,
CA000000073,Tachyglossus aculeatus,Short-beaked echidna,,,,,,Animalia,Chordata,Mammalia,Monotremata,Tachyglossidae,Tachyglossus,aculeatus,,Cell Culture,2004-08-27,,Liquid Nitrogen,2021_11_08_MFS,
CA000000074,Trichechus manatus,Manatee,,,,,,Animalia,Chordata,Mammalia,Sirenia,Trichechidae,Trichechus,manatus,,Cell Culture,2012-10-20,,Liquid Nitrogen,2021_11_08_MFS,
CA000000075,Bos grunniens,Domestic yak,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,grunniens,,Cell Culture,1997-03-05,,Liquid Nitrogen,2021_11_08_MFS,
CA000000076,Trichechus manatus,Manatee,,,,,,Animalia,Chordata,Mammalia,Sirenia,Trichechidae,Trichechus,manatus,,Cell Culture,2012-10-20,,Liquid Nitrogen,2021_11_08_MFS,
CA000000077,Bos grunniens,Domestic yak,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,grunniens,,Cell Culture,1996-06-17,,Liquid Nitrogen,2021_11_08_MFS,
CA000000078,Bos taurus,Cattle,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,taurus,,Cell Culture,1997-09-05,,Liquid Nitrogen,2021_11_08_MFS,
CA000000079,Bos taurus,Cattle,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,taurus,,Cell Culture,1996-06-25,,Liquid Nitrogen,2021_11_08_MFS,
CA000000080,Bos taurus,Cattle,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,taurus,,Cell Culture,1996-06-19,,Liquid Nitrogen,2021_11_08_MFS,
CA000000081,Canis familiaris,Domestic dog,,,,,,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,familiaris,,Cell Culture,2007-04-05,,Liquid Nitrogen,2021_11_08_MFS,
CA000000082,Canis familiaris,Domestic dog,,,,,,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,familiaris,,Cell Culture,1999-07-21,,Liquid Nitrogen,2021_11_08_MFS,
CA000000083,Canis familiaris,Domestic dog,,,,,,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,familiaris,,Cell Culture,1999-07-21,,Liquid Nitrogen,2021_11_08_MFS,
CA000000084,Canis familiaris,Domestic dog,,,,,,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,familiaris,,Cell Culture,1999-07-21,,Liquid Nitrogen,2021_11_08_MFS,
CA000000085,Canis familiaris,Domestic dog,,,,,,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,familiaris,,Cell Culture,1999-07-19,,Liquid Nitrogen,2021_11_08_MFS,
CA000000086,Cercopithecus neglectus,De Brazza's monkey,,,,,,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,neglectus,,Cell Culture,1996-11-12,,Liquid Nitrogen,2021_11_08_MFS,
CA000000087,Cricetomys gambianus,Gambian pouched rat,,,,,,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Cricetomys,gambianus,,Cell Culture,2003-03-27,,Liquid Nitrogen,2021_11_08_MFS,
CA000000088,Equus hemionus,Onager,,,,,,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,hemionus,,Cell Culture,2003-03-20,,Liquid Nitrogen,2021_11_08_MFS,
CA000000089,Felis catus,Domestic Cat,,,,,,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,catus,,Cell Culture,2004-03-23,,Liquid Nitrogen,2021_11_08_MFS,
CA000000090,Felis catus,Domestic Cat,,,,,,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,catus,,Cell Culture,2004-03-23,,Liquid Nitrogen,2021_11_08_MFS,
CA000000091,Gekko japonicus,Japanese gecko,,,,,,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Gekko,japonicus,,Cell Culture,2008-03-23,,Liquid Nitrogen,2021_11_08_MFS,
CA000000092,Gekko japonicus,Japanese gecko,,,,,,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Gekko,japonicus,,Cell Culture,2008-03-23,,Liquid Nitrogen,2021_11_08_MFS,
CA000000093,Ornithorhynchus anatinus,Platypus,,,,,,Animalia,Chordata,Mammalia,Monotremata,Ornithorhynchidae,Ornithorhynchus,anatinus,,Cell Culture,2005-07-28,,Liquid Nitrogen,2021_11_08_MFS,
CA000000094,Ornithorhynchus anatinus,Platypus,,,,,,Animalia,Chordata,Mammalia,Monotremata,Ornithorhynchidae,Ornithorhynchus,anatinus,,Cell Culture,2006-09-05,,Liquid Nitrogen,2021_11_08_MFS,
CA000000095,Bos taurus,Chillingham cattle,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,taurus,,Cell Culture,1999-05-10,,Liquid Nitrogen,2021_11_08_MFS,
CA000000096,Cavia porcellus,Guinea pig,,,,,,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,porcellus,,Cell Culture,2001-03-29,,Liquid Nitrogen,2021_11_08_MFS,
CA000000097,Cavia porcellus,Guinea pig,,,,,,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,porcellus,,Cell Culture,2001-03-29,,Liquid Nitrogen,2021_11_08_MFS,
CA000000098,Dicrostonyx torquatus,Collared lemming,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Dicrostonyx,torquatus,,Cell Culture,2005-10-09,,Liquid Nitrogen,2021_11_08_MFS,
CA000000099,Dicrostonyx torquatus,Collared lemming,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Dicrostonyx,torquatus,,Cell Culture,2005-10-09,,Liquid Nitrogen,2021_11_08_MFS,
CA000000100,Equus burchelli,Plains zebra,,,,,,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,burchelli,,Cell Culture,2000-09-14,,Liquid Nitrogen,2021_11_08_MFS,
CA000000101,Equus burchelli,Plains zebra,,,,,,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,burchelli,,Cell Culture,2000-09-14,,Liquid Nitrogen,2021_11_08_MFS,
CA000000102,Equus przewalskii,Przewalski's horse,,,,,,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,przewalskii,,Cell Culture,2001-11-05,,Liquid Nitrogen,2021_11_08_MFS,
CA000000103,Equus przewalskii,Przewalski's horse,,,,,,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,przewalskii,,Cell Culture,2001-10-31,,Liquid Nitrogen,2021_11_08_MFS,
CA000000104,Equus zebra hartmannae,,,,,,,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,zebra,hartmannae,Cell Culture,2001-11-05,,Liquid Nitrogen,2021_11_08_MFS,
CA000000105,Equus zebra hartmannae,,,,,,,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,zebra,hartmannae,Cell Culture,2001-11-05,,Liquid Nitrogen,2021_11_08_MFS,
CA000000106,Ornithorhynchus anatinus,Platypus,,,,,,Animalia,Chordata,Mammalia,Monotremata,Ornithorhynchidae,Ornithorhynchus,anatinus,,Cell Culture,2007-04-16,,Liquid Nitrogen,2021_11_08_MFS,
CA000000107,Rattus norvegicus,Brown rat,,,,,,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,norvegicus,,Cell Culture,2001-10-29,,Liquid Nitrogen,2021_11_08_MFS,
CA000000108,Felis catus,Domestic Cat,,,,,,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,catus,,Cell Culture,1998-08-13,,Liquid Nitrogen,2021_11_08_MFS,
CA000000109,Felis catus,Domestic Cat,,,,,,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,catus,,Cell Culture,2006-03-28,,Liquid Nitrogen,2021_11_08_MFS,
CA000000110,Felis catus,Domestic Cat,,,,,,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,catus,,Cell Culture,1996-08-20,,Liquid Nitrogen,2021_11_08_MFS,
CA000000111,Felis catus,Domestic Cat,,,,,,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,catus,,Cell Culture,2006-03-28,,Liquid Nitrogen,2021_11_08_MFS,
CA000000112,Felis catus,Domestic Cat,,,,,,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,catus,,Cell Culture,2006-03-28,,Liquid Nitrogen,2021_11_08_MFS,
CA000000113,Gallus gallus,Chicken,,,,,,Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,gallus,,Cell Culture,2007-05-21,,Liquid Nitrogen,2021_11_08_MFS,
CA000000114,Hylobates lar,White-handed gibbon,,,,,,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,lar,,Cell Culture,1995-05-02,,Liquid Nitrogen,2021_11_08_MFS,
CA000000115,Hylobates lar,White-handed gibbon,,,,,,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,lar,,Cell Culture,1995-05-02,,Liquid Nitrogen,2021_11_08_MFS,
CA000000116,Macaca nemestrina,Southern pig-tailed macaque,,,,,,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,nemestrina,,Cell Culture,1995-07-30,,Liquid Nitrogen,2021_11_08_MFS,
CA000000117,Microtus agrestis,Field vole,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,agrestis,,Cell Culture,2003-11-28,,Liquid Nitrogen,2021_11_08_MFS,
CA000000118,Rattus norvegicus,Brown rat,,,,,,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,norvegicus,,Cell Culture,1995-09-07,,Liquid Nitrogen,2021_11_08_MFS,
CA000000119,Trichosurus vulpecula,Brush-tailed possum,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Phalangeridae,Trichosurus,vulpecula,,Cell Culture,2003-11-28,,Liquid Nitrogen,2021_11_08_MFS,
CA000000120,Bos grunniens,Domestic yak,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,grunniens,,Cell Culture,2003-07-02,,Liquid Nitrogen,2021_11_08_MFS,
CA000000121,Bos grunniens,Domestic yak,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,grunniens,,Cell Culture,2003-07-02,,Liquid Nitrogen,2021_11_08_MFS,
CA000000122,Bos grunniens,Domestic yak,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,grunniens,,Cell Culture,2003-07-02,,Liquid Nitrogen,2021_11_08_MFS,
CA000000123,Leucopternis albicollis,White hawk,,,,,,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Leucopternis,albicollis,,Cell Culture,2007-05-09,,Liquid Nitrogen,2021_11_08_MFS,
CA000000124,Maxomys surifer,Red spiny rat,,,,,,Animalia,Chordata,Mammalia,Rodentia,Muridae,Maxomys,surifer,,Cell Culture,2008-10-30,,Liquid Nitrogen,2021_11_08_MFS,
CA000000125,Microgale cowani,Tenrec,,,,,,Animalia,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale,cowani,,Cell Culture,2004-03-01,,Liquid Nitrogen,2021_11_08_MFS,
CA000000126,Oryzias latipes,Medaka,,,,,,Animalia,Chordata,Actinopterygii,Beloniformes,Adrianichthyidae,Oryzias,latipes,,Cell Culture,2000-09-04,,Liquid Nitrogen,2021_11_08_MFS,
CA000000127,Oryzias latipes,Medaka,,,,,,Animalia,Chordata,Actinopterygii,Beloniformes,Adrianichthyidae,Oryzias,latipes,,Cell Culture,2000-09-04,,Liquid Nitrogen,2021_11_08_MFS,
CA000000128,Oryzias latipes,Medaka,,,,,,Animalia,Chordata,Actinopterygii,Beloniformes,Adrianichthyidae,Oryzias,latipes,,Cell Culture,2000-09-04,,Liquid Nitrogen,2021_11_08_MFS,
CA000000129,Sminthopsis macroura,Stripe-faced dunnart,,,,,,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,macroura,,Cell Culture,,,Liquid Nitrogen,2021_11_08_MFS,
CA000000130,Tursiops truncatus,Dolphin,,,,,,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Tursiops,truncatus,,Cell Culture,2001-05-21,,Liquid Nitrogen,2021_11_08_MFS,
