"species","survival","extinction"
"Abditomys_latidens",0.98,0.02
"Abeomelomys_sevia",0.9995,5e-04
"Abrawayaomys_chebezi",0.98,0.02
"Abrawayaomys_ruschii",0.9995,5e-04
"Abrocoma_bennettii",0.9995,5e-04
"Abrocoma_boliviensis",0,1
"Abrocoma_budini",0.98,0.02
"Abrocoma_cinerea",0.9995,5e-04
"Abrocoma_famatina",0.98,0.02
"Abrocoma_schistacea",0.98,0.02
"Abrocoma_uspallata",0.98,0.02
"Abrocoma_vaccarum",0.98,0.02
"Abrothrix_andina",0.9995,5e-04
"Abrothrix_hershkovitzi",0.98,0.02
"Abrothrix_hirta",0.98,0.02
"Abrothrix_illutea",0.9995,5e-04
"Abrothrix_jelskii",0.9995,5e-04
"Abrothrix_lanosa",0.98,0.02
"Abrothrix_longipilis",0.9995,5e-04
"Abrothrix_manni",0.9995,5e-04
"Abrothrix_olivacea",0.9995,5e-04
"Abrothrix_sanborni",0.98,0.02
"Acerodon_celebensis",0.61,0.39
"Acerodon_humilis",0.004,0.996
"Acerodon_jubatus",0.004,0.996
"Acerodon_leucotis",0.61,0.39
"Acerodon_mackloti",0.61,0.39
"Acinonyx_jubatus",0.61,0.39
"Acomys_cahirinus",0.9995,5e-04
"Acomys_chudeaui",0.9995,5e-04
"Acomys_cilicicus",0.98,0.02
"Acomys_cineraceus",0.9995,5e-04
"Acomys_dimidiatus",0.9995,5e-04
"Acomys_ignitus",0.9995,5e-04
"Acomys_johannis",0.9995,5e-04
"Acomys_kempi",0.9995,5e-04
"Acomys_louisae",0.9995,5e-04
"Acomys_minous",0.98,0.02
"Acomys_mullah",0.9995,5e-04
"Acomys_muzei",0.9995,5e-04
"Acomys_nesiotes",0.98,0.02
"Acomys_ngurui",0.9995,5e-04
"Acomys_percivali",0.9995,5e-04
"Acomys_russatus",0.9995,5e-04
"Acomys_selousi",0.9995,5e-04
"Acomys_seurati",0.9995,5e-04
"Acomys_spinosissimus",0.9995,5e-04
"Acomys_subspinosus",0.9995,5e-04
"Acomys_wilsoni",0.9995,5e-04
"Aconaemys_fuscus",0.9995,5e-04
"Aconaemys_porteri",0.98,0.02
"Aconaemys_sagei",0.98,0.02
"Acrobates_frontalis",0.98,0.02
"Acrobates_pygmaeus",0.9995,5e-04
"Acrocodia_indicus",0.004,0.996
"Addax_nasomaculatus",0,1
"Aegialomys_baroni",0.98,0.02
"Aegialomys_galapagoensis",0.61,0.39
