"Species","Status","Extinction","Survival"
"Nesasio_solomonensis","VU",0.05,0.95
"Newtonia_fanovanae","VU",0.05,0.95
"Nisaetus_bartelsi","EN",0.42,0.58
"Oreomystis_bairdi","CR",0.97,0.03
"Oreophasis_derbianus","EN",0.42,0.58
"Oriolus_isabellae","CR",0.97,0.03
"Otus_capnodes","CR",0.97,0.03
"Palmeria_dolei","CR",0.97,0.03
"Pardalotus_quadragintus","EN",0.42,0.58
"Penelope_albipennis","CR",0.97,0.03
"Petroica_traversi","EN",0.42,0.58
"Phalacrocorax_chalconotus","VU",0.05,0.95
"Phalacrocorax_onslowi","CR",0.97,0.03
"Philydor_novaesi","CR",0.97,0.03
"Phoebastria_irrorata","CR",0.97,0.03
"Phyllomyias_urichi","EN",0.42,0.58
"Picathartes_gymnocephalus","VU",0.05,0.95
"Pipile_pipile","CR",0.97,0.03
"Pithecophaga_jefferyi","CR",0.97,0.03
"Platysteira_laticincta","EN",0.42,0.58
"Ploceus_aureonucha","EN",0.42,0.58
"Ploceus_golandi","EN",0.42,0.58
"Ploceus_nicolli","EN",0.42,0.58
"Podiceps_taczanowskii","CR",0.97,0.03
"Polioptila_clementsi","CR",0.97,0.03
"Polyplectron_napoleonis","VU",0.05,0.95
"Pomarea_nigra","CR",0.97,0.03
"Pomarea_whitneyi","CR",0.97,0.03
"Premnoplex_tatei","VU",0.05,0.95
"Pseudibis_davisoni","CR",0.97,0.03
"Pseudobulweria_macgillivrayi","CR",0.97,0.03
"Pseudocalyptomena_graueri","VU",0.05,0.95
"Pseudonestor_xanthophrys","CR",0.97,0.03
"Pterodroma_magentae","CR",0.97,0.03
"Pterodroma_phaeopygia","CR",0.97,0.03
"Ptilocichla_falcata","VU",0.05,0.95
"Puffinus_auricularis","CR",0.97,0.03
"Puffinus_mauretanicus","CR",0.97,0.03
"Pyrrhura_orcesi","EN",0.42,0.58
"Pyrrhura_viridicata","EN",0.42,0.58
"Rhinoptilus_bitorquatus","CR",0.97,0.03
"Rhynchopsitta_pachyrhyncha","EN",0.42,0.58
"Rhynchopsitta_terrisi","EN",0.42,0.58
"Rowettia_goughensis","CR",0.97,0.03
"Schoutedenapus_schoutedeni","VU",0.05,0.95
"Sephanoides_fernandensis","CR",0.97,0.03
"Sheppardia_aurantiithorax","EN",0.42,0.58
"Spizella_wortheni","EN",0.42,0.58
"Spizocorys_fringillaris","EN",0.42,0.58
"Sterna_bernsteini","CR",0.97,0.03
"Strigops_habroptila","CR",0.97,0.03
"Synallaxis_tithys","EN",0.42,0.58
"Synthliboramphus_craveri","VU",0.05,0.95
"Telophorus_kupeensis","EN",0.42,0.58
"Terpsiphone_corvina","CR",0.97,0.03
"Thaumatibis_gigantea","CR",0.97,0.03
"Thryothorus_nicefori","CR",0.97,0.03
"Todiramphus_funebris","VU",0.05,0.95
"Todiramphus_gambieri","CR",0.97,0.03
"Todiramphus_godeffroyi","CR",0.97,0.03
"Treron_pembaensis","VU",0.05,0.95
"Treron_psittaceus","EN",0.42,0.58
"Treron_sanctithomae","VU",0.05,0.95
"Troglodytes_monticola","CR",0.97,0.03
"Turdus_helleri","CR",0.97,0.03
"Turnix_olivii","EN",0.42,0.58
"Vanellus_gregarius","CR",0.97,0.03
"Xenicus_gilviventris","VU",0.05,0.95
"Zoothera_guttata","EN",0.42,0.58
"Zosterops_chloronothus","CR",0.97,0.03
"Zosterops_conspicillatus","EN",0.42,0.58
"Zosterops_nehrkorni","CR",0.97,0.03
"Zosterops_rotensis","CR",0.97,0.03
"Zosterops_splendidus","VU",0.05,0.95
