"Common..Name","Species","IUCN..Bird..Red..List.2013","ADEPD.score","EDGE..score","Required.Expenditure..US..","Recent.Expenditure..US.."
"Akohekohe","Palmeria_dolei","CR",1.58144,4.38235,19900000,16400000
"Forty-­‐spotted  Pardalote","Pardalotus_quadragintus","EN",2.29284,4.71225,2940000,60000
"White-­‐winged  Guan","Penelope_albipennis","CR",0.7236,4.19277,3290000,1340000
"Black  Robin","Petroica_traversi","EN",1.64789,4.53089,1270000,1170000
"Stewart  Island  Shag","Leucocarbo_chalconotus","VU",0.05973,3.27313,224000,0
"Chatham  Islands  Shag","Leucocarbo_onslowi","CR",2.45511,4.85362,470000,130000
"Waved  Albatross","Phoebastria_irrorata","CR",3.61476,5.24648,4390000,478000
"Urich's  Tyrannulet","Phyllomyias_urichi","EN",1.6564,4.16687,5500000,105000
"White-­‐necked  Picathartes","Picathartes_gymnocephalus","VU",0.33639,4.46713,4510000,77000
"Trinidad  Piping-­‐guan","Pipile_pipile","CR",0.13424,4.01481,4020000,60000
"Philippine  Eagle","Pithecophaga_jefferyi","CR",13.47935,5.97685,21800000,3810000
"Banded  Wattle-­‐eye","Platysteira_laticincta","EN",1.81137,4.33114,4480000,2440000
"Golden-­‐naped  Weaver","Ploceus_aureonucha","EN",0.69844,3.44952,29400000,344000
"Clarke's  Weaver","Ploceus_golandi","EN",0.7052,3.42594,12300000,3150000
"Usambara  Weaver","Ploceus_nicolli","EN",0.68776,3.4456,41300000,1500000
"Junin  Grebe","Podiceps_taczanowskii","CR",4.71685,5.51784,3060000,955000
"Palawan  Peacock-­‐pheasant","Polyplectron_napoleonis","VU",0.27995,3.49173,16800000,13500000
"Tahiti  Monarch","Pomarea_nigra","CR",2.21979,4.45989,2050000,365000
"Fatuhiva  Monarch","Pomarea_whitneyi","CR",1.14114,4.20523,85400000,158000
"White-­‐throated  Barbtail","Premnoplex_tatei","VU",0.21513,3.51752,7660000,64000
"White-­‐shouldered  Ibis","Pseudibis_davisoni","CR",4.59328,5.62554,7920000,729000
